order_id,stock_tick,stock_id,country_id,time_frame,order_type,entry_price,stoploss_price,target_price,stock_quantity,purchased_cmp_date,purchased_on,order_status,is_trade_started,is_evaluated,entry_timestamp,completed_on,lstm_rf_model_prediction,lstm_rf_model_prob,arima_ab_model_prediction,arima_ab_model_prob
1620019,bajaj_finance,641,1,1,BUY,855.1,785.461,1005.06,100,2026-06-01T15:29,"2026-07-13 14:37:39","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1620020,coal_india,771,1,1,SELL,495,503.319,464.85,100,2026-06-01T15:29,"2026-07-13 14:37:41","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1620021,divis_laboratories,660,1,1,BUY,6295.43,6143.79,6730.12,100,2026-06-01T15:29,"2026-07-13 14:37:41","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1620022,jsw_steel,772,1,1,BUY,1263.89,1237.72,1365.67,100,2026-06-01T15:29,"2026-07-13 14:37:47","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -2617.0, 'loss_pct': -2.07}",1,1,"2026-06-08 05:30:00","2026-06-23 05:30:00",NULL,NULL,NULL,NULL
1620023,tata_consumer_products,735,1,1,BUY,1122.08,1097.25,1222.99,100,2026-06-01T15:29,"2026-07-13 14:37:51","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -2483.0, 'loss_pct': -2.21}",1,1,"2026-06-08 05:30:00","2026-06-09 05:30:00",NULL,NULL,NULL,NULL
1620024,titan,768,1,1,BUY,3956.23,3796.51,4298.1,100,2026-06-01T15:29,"2026-07-13 14:37:54","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1620025,ambuja_cement,791,1,5,BUY,419.328,410.738,439.662,100,2026-06-01T15:29,"2026-07-13 14:37:59","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -859.0, 'loss_pct': -2.05}",1,1,"2026-06-05 09:50:00","2026-06-10 14:00:00",NULL,NULL,NULL,NULL
1620026,bajaj_finserv,642,1,5,BUY,1609.21,1591.92,1755.31,100,2026-06-01T15:29,"2026-07-13 14:38:03","{'status': 'not_triggered', 'reason': 'Entry not hit', 'entry_hit': False}",0,1,NULL,NULL,NULL,NULL,NULL,NULL
1620027,canara_bank,653,1,5,BUY,126.069,124.746,128.58,100,2026-06-01T15:29,"2026-07-13 14:38:05","{'status': 'success', 'reason': 'Target hit', 'entry_hit': True, 'profit_amount': 251.1, 'profit_pct': 1.99}",1,1,"2026-06-02 09:25:00","2026-06-02 13:35:00",NULL,NULL,NULL,NULL
1620028,hdfc_life,674,1,5,BUY,557.2,550.147,592,100,2026-06-01T15:29,"2026-07-13 14:38:11","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -705.3, 'loss_pct': -1.27}",1,1,"2026-06-10 12:05:00","2026-06-10 14:10:00",NULL,NULL,NULL,NULL
