order_id,trade_signal_id,stock_tick,stock_id,country_id,time_frame,order_type,entry_price,stoploss_price,target_price,stock_quantity,purchased_cmp_date,purchased_on,order_status,is_trade_started,is_evaluated,entry_timestamp,completed_on,lstm_rf_model_prediction,lstm_rf_model_prob,arima_ab_model_prediction,arima_ab_model_prob,expiry_date
605,NULL,GOLDM,14,1,2,SELL,50780.7,51298.1,48569.4,100,2021-06-01T23:20,"2021-06-01 23:20:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -51740.0, 'loss_pct': -1.02}",1,1,"2022-02-25 17:00:00","2022-02-28 09:00:00",NULL,NULL,NA,0,05-08-2026
606,NULL,GOLDM,14,1,2,SELL,50780.7,51298.1,48569.4,100,2021-06-01T23:20,"2021-06-01 23:20:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -51740.0, 'loss_pct': -1.02}",1,1,"2022-02-25 17:00:00","2022-02-28 09:00:00",NULL,NULL,NA,0,04-09-2026
607,NULL,SILVER,16,1,2,BUY,70735.9,69768.4,73741.8,100,2021-06-01T23:20,"2021-06-01 23:20:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -96750.0, 'loss_pct': -1.37}",1,1,"2021-06-17 13:00:00","2021-06-17 17:00:00",NULL,NULL,NA,0,31-08-2026
608,NULL,SILVERM,17,1,2,BUY,74910.2,74068.6,77911,100,2021-06-01T23:20,"2021-06-01 23:20:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -84160.0, 'loss_pct': -1.12}",1,1,"2021-06-02 09:00:00","2021-06-03 17:00:00",NULL,NULL,NA,0,31-08-2026
609,NULL,SILVER,16,1,3,BUY,70735.9,69811.4,74513.2,100,2021-06-01T23:20,"2021-06-01 23:20:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -92450.0, 'loss_pct': -1.31}",1,1,"2021-06-17 15:00:00","2021-06-17 17:00:00",NULL,NULL,NA,0,31-08-2026
610,NULL,SILVER,16,1,3,SELL,74599.9,75369.6,72339,100,2021-06-01T23:20,"2021-06-01 23:20:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -76970.0, 'loss_pct': -1.03}",1,1,"2023-04-04 19:00:00","2023-04-04 21:00:00",NULL,NULL,NA,0,31-08-2026
611,NULL,SILVERM,17,1,2,BUY,74910.2,74068.6,77911,100,2021-06-01T23:20,"2021-06-01 23:20:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -84160.0, 'loss_pct': -1.12}",1,1,"2021-06-02 09:00:00","2021-06-03 17:00:00",NULL,NULL,NA,0,30-11-2026
612,NULL,SILVER,16,1,4,BUY,70836.1,69832.8,75270,100,2021-06-01T23:20,"2021-06-01 23:20:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -100330.0, 'loss_pct': -1.42}",1,1,"2021-06-17 13:00:00","2021-06-17 17:00:00",NULL,NULL,NA,0,31-08-2026
619,NULL,GOLDM,14,1,1,BUY,45976.9,45206.7,51910,100,2021-06-03T23:20,"2021-06-03 23:20:00","{'status': 'success', 'reason': 'Target hit', 'entry_hit': True, 'profit_amount': 593310.0, 'profit_pct': 12.9}",1,1,"2021-08-10 05:30:00","2022-02-24 05:30:00",NULL,NULL,NA,0,05-08-2026
621,NULL,GOLDM,14,1,1,BUY,45976.9,45206.7,51910,100,2021-06-03T23:20,"2021-06-03 23:20:00","{'status': 'success', 'reason': 'Target hit', 'entry_hit': True, 'profit_amount': 593310.0, 'profit_pct': 12.9}",1,1,"2021-08-10 05:30:00","2022-02-24 05:30:00",NULL,NULL,NA,0,04-09-2026
623,NULL,SILVER,16,1,1,BUY,69590.2,65261.2,78863.5,100,2021-06-03T23:20,"2021-06-03 23:20:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -432900.0, 'loss_pct': -6.22}",1,1,"2021-06-17 05:30:00","2021-08-09 05:30:00",NULL,NULL,NA,0,31-08-2026
625,NULL,SILVER,16,1,3,BUY,70735.9,69802.6,72821,100,2021-06-03T23:20,"2021-06-03 23:20:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -93330.0, 'loss_pct': -1.32}",1,1,"2021-06-17 15:00:00","2021-06-17 17:00:00",NULL,NULL,NA,0,31-08-2026
626,NULL,SILVER,16,1,3,SELL,74599.9,75378.4,70828.5,100,2021-06-03T23:20,"2021-06-03 23:20:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -77850.0, 'loss_pct': -1.04}",1,1,"2023-04-04 19:00:00","2023-04-04 21:00:00",NULL,NULL,NA,0,31-08-2026
