bucket_id,order_id,trade_signal_id,stock_tick,stock_id,country_id,time_frame,order_type,entry_price,real_entry_price,stoploss_price,real_stoploss_price,target_price,real_target_price,stock_quantity,purchased_cmp_date,purchased_on,order_status,is_trade_started,is_evaluated,entry_timestamp,completed_on,id_fyers_gtt_single,gtt_single_id,id_fyers_gtt_oco,gtt_oco_id,gtt_oco_placed
75,164258,11536,hdfcbank,1,1,2,BUY,741.911,741.9,733.639,733.65,760.378,,3,2026-08-03 13:22,2026-08-03 13:23:00,completed,yes,yes,2026-08-04 11:36:11,2026-08-05 13:05:45,8cd6898e-407d-48c1-abd2-30c4f178fb5e,26080300001384,,,yes
80,164293,11541,britannia_industries,652,1,5,BUY,5382,5379.5,5326.84,,5517.38,5555,1,2026-08-03 13:22,2026-08-03 13:23:19,completed,yes,yes,2026-08-06 13:02:12,2026-08-07 9:15:00,72197363-6542-45eb-9b03-d22cb1f21754,26080300001476,,,yes
87,164271,11549,titan,768,1,1,BUY,4882.51,4882.5,4799.31,,5141.53,5141.5,1,2026-08-04 17:41,2026-08-04 17:41:29,completed,yes,yes,2026-08-05 9:15:16,2026-08-11 9:16:34,e861987d-0011-4a2d-9a73-4e7903df5813,26080400001812,,,yes
88,164272,11551,britannia_industries,652,1,2,BUY,5333.99,5334,5224.96,5225,5640.5,,1,2026-08-04 17:41,2026-08-04 17:41:35,completed,yes,yes,2026-08-24 9:29:37,2026-08-31 15:01:42,cf3eee0f-0b75-4bd3-9e44-34cd64986f4b,26080400001813,b652c575-f815-470f-9a64-bb1c99b8ad3d,26082400000359,yes
102,164286,11604,britannia_industries,652,1,25,BUY,5430.63,5430.5,5349.07,5349.5,5640.5,,1,2026-08-07 16:00,2026-08-07 16:00:42,completed,yes,yes,2026-08-21 9:21:13,2026-08-21 13:28:29,f6d0c961-4db7-448b-88f7-22ef04ead23e,26080700001855,b91ab3aa-19d7-4801-b6b2-07e954508f16,26082100000216,yes
107,164296,11623,shriram_finance,776,1,2,BUY,1094.34,1094.3,1073.12,1073.12,1153.7,,1,2026-08-12 13:42,2026-08-12 13:42:27,completed,yes,yes,2026-08-27 9:55:35,2026-08-31 9:15:18,8202f84c-44e0-4244-a0d4-d2ef56409b5e,26081200001434,d918d055-a308-480b-acc7-0b38fbc14f2c,26082700000440,yes
111,164300,11630,britannia_industries,652,1,5,BUY,5382.06,5382,5326.49,5326.5,5640.5,,1,2026-08-12 13:42,2026-08-12 13:42:46,completed,yes,yes,2026-08-21 9:25:30,2026-08-24 10:26:13,bbb5e959-5b2a-4662-8c95-ae18ef8b8e18,26081200001438,8d1442ae-e07e-45c5-8b11-da9ef68ea01c,26082100000254,yes
116,164305,11652,shriram_finance,776,1,6,BUY,1118.17,1118.2,1104.75,1104.8,1148.37,,1,2026-08-13 16:00,2026-08-13 16:00:55,completed,yes,yes,2026-08-14 13:25:55,2026-08-18 10:51:02,81da73be-1615-4979-98c9-a62313f40347,26081300001908,dcb8c3cf-44ef-40dc-85e9-3e131579a4cc,26081400001275,yes
117,164306,11660,icicibank,3,1,2,BUY,1391.68,1391.7,1375.46,,1441.9,1441.9,1,2026-08-14 16:00,2026-08-14 16:00:20,completed,yes,yes,2026-08-19 13:25:07,2026-08-26 9:16:16,f5a75690-5fdb-4edd-ba34-1cc048417b44,26081400001738,795e514a-4f93-4297-8ff6-2e097cfec96b,26081900001352,yes
118,164308,11675,hindalco_industries,676,1,5,BUY,1041.76,1041.8,1025,1025.9,1087.95,,1,2026-08-18 12:09,2026-08-18 12:10:11,completed,yes,yes,2026-08-18 13:27:01,2026-08-20 9:23:15,d94c4941-7aaf-4756-a066-d0383b2380e1,26081800001012,c6863c64-db96-4ba4-91fb-776e53161b9c,26081800001257,yes
120,164310,11708,shriram_finance,776,1,5,BUY,1110.86,1110.9,1094.94,1095,1147.27,,1,2026-08-20 16:00,2026-08-20 16:00:29,completed,yes,yes,2026-08-26 9:18:17,2026-08-27 9:55:03,da469e08-7b60-4eb0-acc9-004201c05436,26082000001607,683582b4-3431-44d5-a5fa-d55c7f161d21,26082600000163,yes
121,164311,11709,shriram_finance,776,1,6,BUY,1117.17,1117.2,1103.28,1103.3,1153.7,,1,2026-08-20 16:00,2026-08-20 16:00:50,completed,yes,yes,2026-08-24 11:18:07,2026-08-27 9:32:49,e7f19870-dd29-4a9a-a716-3690b93c8624,26082000001610,f11e9840-03f9-4b8b-a49c-dce7c51bbc73,26082400000873,yes
127,164317,11725,bajaj_finance,641,1,2,BUY,1087.93,1087.9,1074.94,1075,1144.6,,1,2026-08-21 17:26,2026-08-21 17:26:47,completed,yes,yes,2026-08-24 9:15:00,2026-08-25 9:15:00,6818a1aa-cb3e-4816-acd0-166ac31d51f3,26082100001309,1af583b8-316c-4c30-958e-6a25234f94e9,26082400000201,yes
