symbol,average_quantity,expiry_date_1,expiry_date_2,expiry_date_3
BANKNIFTY,499721.74,2026-09-29,2026-10-27,2026-11-23
FINNIFTY,10200.0,2026-09-29,2026-10-27,2026-11-23
NIFTY,2681185.0,2026-09-29,2026-10-27,2026-11-23
CANBK,33494086.96,2026-09-29,2026-10-27,2026-11-23
HDFCBANK,31469665.22,2026-09-29,2026-10-27,2026-11-23
PNB,30309217.39,2026-09-29,2026-10-27,2026-11-23
ASHOKLEY,27605652.17,2026-09-29,2026-10-27,2026-11-23
TATASTEEL,25910500.0,2026-09-29,2026-10-27,2026-11-23
ETERNAL,25745697.83,2026-09-29,2026-10-27,2026-11-23
JIOFIN,24515710.87,2026-09-29,2026-10-27,2026-11-23
MOTHERSON,23885263.04,2026-09-29,2026-10-27,2026-11-23
WIPRO,21903652.17,2026-09-29,2026-10-27,2026-11-23
SAIL,21763043.48,2026-09-29,2026-10-27,2026-11-23
KOTAKBANK,16315739.13,2026-09-29,2026-10-27,2026-11-23
UNIONBANK,15126381.52,2026-09-29,2026-10-27,2026-11-23
ITC,15075825.0,2026-09-29,2026-10-27,2026-11-23
RELIANCE,14005391.3,2026-09-29,2026-10-27,2026-11-23
BANKBARODA,13763142.39,2026-09-29,2026-10-27,2026-11-23
IREDA,13208671.74,2026-09-29,2026-10-27,2026-11-23
IOC,13200864.13,2026-09-29,2026-10-27,2026-11-23
SBIN,12665673.91,2026-09-29,2026-10-27,2026-11-23
LICI,12532434.78,2026-09-29,2026-10-27,2026-11-23
BHEL,12424353.26,2026-09-29,2026-10-27,2026-11-23
BANDHANBNK,11530173.91,2026-09-29,2026-10-27,2026-11-23
BEL,11267227.17,2026-09-29,2026-10-27,2026-11-23
BANKINDIA,11133200.0,2026-09-29,2026-10-27,2026-11-23
MANAPPURAM,10676347.83,2026-09-29,2026-10-27,2026-11-23
NTPC,10247217.39,2026-09-29,2026-10-27,2026-11-23
GAIL,9934597.83,2026-09-29,2026-10-27,2026-11-23
INFY,9788313.04,2026-09-29,2026-10-27,2026-11-23
VEDL,9762800.0,2026-09-29,2026-10-27,2026-11-23
INDUSTOWER,9637078.26,2026-09-29,2026-10-27,2026-11-23
ICICIBANK,9586834.78,2026-09-29,2026-10-27,2026-11-23
FEDERALBNK,9390543.48,2026-09-29,2026-10-27,2026-11-23
KALYANKJIL,9152647.83,2026-09-29,2026-10-27,2026-11-23
NATIONALUM,8884157.61,2026-09-29,2026-10-27,2026-11-23
ONGC,8784684.78,2026-09-29,2026-10-27,2026-11-23
PFC,8675804.35,2026-09-29,2026-10-27,2026-11-23
CROMPTON,8638793.48,2026-09-29,2026-10-27,2026-11-23
COALINDIA,8329147.83,2026-09-29,2026-10-27,2026-11-23
LTF,8112228.26,2026-09-29,2026-10-27,2026-11-23
ANGELONE,8045760.87,2026-09-29,2026-10-27,2026-11-23
POWERGRID,7892104.35,2026-09-29,2026-10-27,2026-11-23
AXISBANK,7483423.91,2026-09-29,2026-10-27,2026-11-23
HINDZINC,7213705.43,2026-09-29,2026-10-27,2026-11-23
BIOCON,7137065.22,2026-09-29,2026-10-27,2026-11-23
NYKAA,7027717.39,2026-09-29,2026-10-27,2026-11-23
HINDALCO,6991204.35,2026-09-29,2026-10-27,2026-11-23
TATAPOWER,6910258.7,2026-09-29,2026-10-27,2026-11-23
AMBUJACEM,6893947.83,2026-09-29,2026-10-27,2026-11-23
RBLBANK,6872632.61,2026-09-29,2026-10-27,2026-11-23
VBL,6507101.09,2026-09-29,2026-10-27,2026-11-23
ABCAPITAL,6427647.83,2026-09-29,2026-10-27,2026-11-23
