symbol,instrument_type,average_quantity,liquidity_rank_overall,liquidity_rank_within_type,top_8_liquid_stock_flag,lot_quantity_1lot,reference_futures_price_inr,one_lot_notional_inr,reference_capital_required_1lot_nrml_margin_inr,nrml_margin_rate_pct,calculated_margin_to_notional_pct,capital_rank_lowest_margin_within_type,expiry_date_1,expiry_date_2,expiry_date_3,reference_contract_expiry,margin_price_snapshot_date,margin_price_source,margin_price_source_url,lot_size_source,lot_size_source_url,capital_note
CANBK,STOCK,33494086.96,1,1,YES,6750,126.89,856507.50,296288.00,34.59,34.59,47,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
HDFCBANK,STOCK,31469665.22,2,2,YES,650,718.70,467155.00,82487.00,17.66,17.66,2,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
PNB,STOCK,30309217.39,3,3,YES,8000,117.18,937440.00,318306.00,33.95,33.95,48,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
ASHOKLEY,STOCK,27605652.17,4,4,YES,5000,169.68,848400.00,190594.00,22.47,22.47,37,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
TATASTEEL,STOCK,25910500.00,5,5,YES,2750,190.52,523930.00,93055.00,17.76,17.76,6,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
ETERNAL,STOCK,25745697.83,6,6,YES,2425,323.35,784123.75,175466.00,22.38,22.38,31,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
JIOFIN,STOCK,24515710.87,7,7,YES,2350,240.35,564822.50,111019.00,19.66,19.66,15,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
MOTHERSON,STOCK,23885263.04,8,8,YES,6150,161.86,995439.00,220385.00,22.14,22.14,41,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
WIPRO,STOCK,21903652.17,9,9,NO,3000,177.56,532680.00,94273.00,17.70,17.70,8,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
SAIL,STOCK,21763043.48,10,10,NO,4700,200.83,943901.00,357028.00,37.82,37.82,49,2026-09-29,2026-10-27,2026-11-23,2026-09-29,2026-09-07,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,NSE permitted market lot / cross-checked with current contract,https://www.nseindia.com/static/products-services/equity-derivatives-contract-information,NRML margin is a Zerodha reference estimate; exact Fyers margin can differ and change with SPAN/exposure requirements.
