order_id,trade_signal_id,stock_tick,stock_id,country_id,time_frame,order_type,entry_price,stoploss_price,target_price,stock_quantity,purchased_cmp_date,purchased_on,order_status,is_trade_started,is_evaluated,entry_timestamp,completed_on,lstm_rf_model_prediction,lstm_rf_model_prob,arima_ab_model_prediction,arima_ab_model_prob,expiry_date
1848,NULL,NIFTY,2373,1,25,BUY,24202.2,23849.7,25296.8,100,2025-05-01T15:29,"2025-05-01 15:29:00","{'status': 'success', 'reason': 'Target hit', 'entry_hit': True, 'profit_amount': 109460.0, 'profit_pct': 4.5227, 'mfe_R': 3.2357, 'mae_R': 0.3932, 'bars_after_fill': 106}",1,1,"2025-05-08 15:00:00","2025-06-06 15:00:00",NULL,NULL,NA,0,28-07-2026
1850,NULL,NIFTY,2373,1,2,BUY,22954.6,22506.6,24450.8,100,2025-05-01T15:29,"2025-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -44800.0, 'loss_pct': -1.9517, 'mfe_R': 1.1292, 'mae_R': 1.0808, 'bars_after_fill': 19}",1,1,"2026-03-24 12:15:00","2026-03-30 09:15:00",NULL,NULL,NA,0,28-07-2026
1851,NULL,NIFTY,2373,1,2,BUY,23485.2,23023.2,24942,100,2025-05-01T15:29,"2025-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -46200.0, 'loss_pct': -1.9672, 'mfe_R': 1.4303, 'mae_R': 1.8944, 'bars_after_fill': 49}",1,1,"2026-03-13 13:15:00","2026-03-24 12:15:00",NULL,NULL,NA,0,25-08-2026
1852,NULL,NIFTY,2373,1,2,BUY,23485.2,23023.2,24942,100,2025-05-01T15:29,"2025-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -46200.0, 'loss_pct': -1.9672, 'mfe_R': 1.4303, 'mae_R': 1.3504, 'bars_after_fill': 39}",1,1,"2026-03-13 13:15:00","2026-03-23 09:15:00",NULL,NULL,NA,0,29-09-2026
1854,NULL,WIPRO,2441,1,5,SELL,256.134,264.477,238.4,100,2025-05-01T15:29,"2025-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -834.3, 'loss_pct': -3.2573, 'mfe_R': 1.1667, 'mae_R': 1.0627, 'bars_after_fill': 346}",1,1,"2025-05-12 12:40:00","2025-06-12 12:40:00",NULL,NULL,NA,0,25-08-2026
1861,NULL,CANBK,2264,1,25,SELL,100.349,101.482,97.55,100,2025-05-01T15:29,"2025-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -113.3, 'loss_pct': -1.1291, 'mfe_R': 1.2524, 'mae_R': 2.0221, 'bars_after_fill': 1}",1,1,"2025-05-09 15:15:00","2025-05-09 15:15:00",NULL,NULL,NA,0,25-08-2026
1862,NULL,CANBK,2264,1,25,SELL,100.349,101.482,97.55,100,2025-05-01T15:29,"2025-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -113.3, 'loss_pct': -1.1291, 'mfe_R': 1.2524, 'mae_R': 2.0221, 'bars_after_fill': 1}",1,1,"2025-05-09 15:15:00","2025-05-09 15:15:00",NULL,NULL,NA,0,29-09-2026
1863,NULL,BANKNIFTY,2251,1,3,BUY,54830.1,54688.8,55900,100,2025-05-01T15:29,"2025-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -14130.0, 'loss_pct': -0.2577, 'mfe_R': 2.2994, 'mae_R': 3.3963, 'bars_after_fill': 4}",1,1,"2025-05-06 14:45:00","2025-05-07 09:15:00",NULL,NULL,NA,0,29-09-2026
1864,NULL,BANKNIFTY,2251,1,3,BUY,54694.9,54519.3,55450.6,100,2025-05-01T15:29,"2025-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -17560.0, 'loss_pct': -0.3211, 'mfe_R': 0.7318, 'mae_R': 1.0928, 'bars_after_fill': 3}",1,1,"2025-05-06 14:45:00","2025-05-06 15:15:00",NULL,NULL,NA,0,28-07-2026
1865,NULL,BANKNIFTY,2251,1,3,BUY,54830.1,54688.8,55900,100,2025-05-01T15:29,"2025-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -14130.0, 'loss_pct': -0.2577, 'mfe_R': 2.2994, 'mae_R': 3.3963, 'bars_after_fill': 4}",1,1,"2025-05-06 14:45:00","2025-05-07 09:15:00",NULL,NULL,NA,0,25-08-2026
1873,NULL,HDFCBANK,2304,1,5,BUY,946.818,936.2,973.22,100,2025-05-01T15:29,"2025-05-01 15:29:00","{'status': 'success', 'reason': 'Target hit', 'entry_hit': True, 'profit_amount': 2640.2, 'profit_pct': 2.7885, 'mfe_R': 2.8143, 'mae_R': 0.2183, 'bars_after_fill': 37}",1,1,"2025-09-26 15:10:00","2025-10-01 11:25:00",NULL,NULL,NA,0,25-08-2026
1874,NULL,HDFCBANK,2304,1,2,BUY,899.447,872.116,973.5,100,2025-05-01T15:29,"2025-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -2733.1, 'loss_pct': -3.0386, 'mfe_R': 0.0843, 'mae_R': 1.2604, 'bars_after_fill': 9}",1,1,"2026-02-27 15:15:00","2026-03-04 09:15:00",NULL,NULL,NA,0,25-08-2026
