stock_tick,n,median_stop_pct
NIFTY,369,1.086
BANKNIFTY,317,1.156
ICICIBANK,315,1.181
HDFCBANK,314,1.266
ITC,194,1.267
KOTAKBANK,260,1.269
BANKINDIA,188,1.305
RELIANCE,362,1.315
ASHOKLEY,261,1.344
INFY,354,1.373
TATASTEEL,350,1.378
BEL,315,1.396
MOTHERSON,283,1.398
ONGC,276,1.4
NTPC,286,1.409
WIPRO,313,1.416
IOC,284,1.418
BANKBARODA,330,1.433
ETERNAL,153,1.435
GMRAIRPORT,134,1.437
PNB,282,1.462
JIOFIN,270,1.464
CANBK,261,1.468
UNIONBANK,208,1.47
BHEL,343,1.542
BANDHANBNK,264,1.548
KALYANKJIL,180,1.615
NBCC,163,1.708
SAIL,279,1.818
