symbol,validated_bt_trades_n,median_stop_pct,in_supplied_liquidity_universe,average_quantity,liquidity_rank_within_validated_set,lot_quantity_1lot,reference_futures_price_inr,one_lot_notional_inr,ranking_per_lot_risk_inr,liquidity_floor_pass,per_lot_risk_rank_after_liquidity_floor,selected_final_8,reference_capital_required_1lot_nrml_margin_inr,reference_contract_expiry,fyers_expected_symbol,fyers_resolution_status,selection_note,price_source,price_source_url,current_contract_check_url
ITC,194,1.267,YES,15075825.0,13,1725,265.45,457901.25,5801.608837499999,PASS,1,YES,81110.0,2026-09-29,NSE:ITC26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,SELECT: lowest per-lot ranking risk after supplied-liquidity-universe floor,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,https://hdfcsky.com/futures/itc-ltd
HDFCBANK,314,1.266,YES,31469665.22,2,650,718.7,467155.00000000006,5914.182300000001,PASS,2,YES,82487.0,2026-09-29,NSE:HDFCBANK26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,SELECT: lowest per-lot ranking risk after supplied-liquidity-universe floor,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,https://hdfcsky.com/futures/hdfc-bank-ltd
INFY,354,1.373,YES,9788313.04,22,400,1138.1,455239.99999999994,6250.445199999999,PASS,3,YES,87317.0,2026-09-29,NSE:INFY26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,SELECT: lowest per-lot ranking risk after supplied-liquidity-universe floor,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,https://www.kotakneo.com/futures-and-options/stocks-futures/infosys-futures/
NTPC,286,1.409,YES,10247217.39,21,1500,334.0,501000.0,7059.09,PASS,4,YES,88800.0,2026-09-29,NSE:NTPC26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,SELECT: lowest per-lot ranking risk after supplied-liquidity-universe floor,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,https://hdfcsky.com/futures/ntpc-ltd
TATASTEEL,350,1.378,YES,25910500.0,5,2750,190.52,523930.0,7219.755399999999,PASS,5,YES,93055.0,2026-09-29,NSE:TATASTEEL26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,SELECT: lowest per-lot ranking risk after supplied-liquidity-universe floor,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,https://www.5paisa.com/derivatives/tatasteel-futures
ONGC,276,1.4,YES,8784684.78,25,2250,235.13,529042.5,7406.595,PASS,6,YES,93958.0,2026-09-29,NSE:ONGC26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,SELECT: lowest per-lot ranking risk after supplied-liquidity-universe floor,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,https://hdfcsky.com/futures/oil-and-natural-gas-corporation-ltd
WIPRO,313,1.416,YES,21903652.17,9,3000,177.56,532680.0,7542.7488,PASS,7,YES,94273.0,2026-09-29,NSE:WIPRO26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,SELECT: lowest per-lot ranking risk after supplied-liquidity-universe floor,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,https://hdfcsky.com/futures/wipro-ltd
BEL,315,1.396,YES,11267227.17,19,1425,409.0,582825.0,8136.236999999999,PASS,8,YES,104844.0,2026-09-29,NSE:BEL26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,SELECT: lowest per-lot ranking risk after supplied-liquidity-universe floor,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,https://www.kotakneo.com/futures-and-options/stocks-futures/bharat-electronics-futures/?expiry=SEP
JIOFIN,270,1.464,YES,24515710.87,7,2350,240.35,564822.5,8269.001400000001,PASS,9,NO,111019.0,2026-09-29,NSE:JIOFIN26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,NOT IN LOWEST 8 ranking risk,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,https://www.5paisa.com/derivatives/jiofin-futures
RELIANCE,362,1.315,YES,14005391.3,14,500,1335.6,667800.0,8781.57,PASS,10,NO,117818.0,2026-09-29,NSE:RELIANCE26SEPFUT,LIVE_MASTER_CHECK_REQUIRED,NOT IN LOWEST 8 ranking risk,Zerodha Futures Margin Calculator,https://zerodha.com/margin-calculator/Futures/,
