id,stock_tick,y_finance,is_active,index_id,kite_symbol,kite_token,fyers_symbol,is_proc
1,hdfcbank,HDFCBANK.NS,1,NULL,HDFCBANK,341249,NSE:HDFCBANK-EQ,0
2,hindunilvr,HINDUNILVR.NS,1,NULL,HINDUNILVR,356865,NSE:HINDUNILVR-EQ,0
3,icicibank,ICICIBANK.NS,1,NULL,ICICIBANK,1270529,NSE:ICICIBANK-EQ,0
4,infy,INFY.NS,1,NULL,INFY,408065,NSE:INFY-EQ,0
5,itc,ITC.NS,1,NULL,ITC,424961,NSE:ITC-EQ,0
6,sun_pharma,SUNPHARMA.NS,1,NULL,SUNPHARMA,857857,NSE:SUNPHARMA-EQ,0
7,tatamotors,TATAMOTORS.NS,1,NULL,TATAMOTORS,884737,NSE:TMPV-EQ,0
8,tatapower,TATAPOWER.NS,1,NULL,TATAPOWER,877057,NSE:TATAPOWER-EQ,0
9,reliance,RELIANCE.NS,1,NULL,RELIANCE,738561,NSE:RELIANCE-EQ,0
10,tcs,TCS.NS,1,NULL,TCS,2953217,NSE:TCS-EQ,0
14,indusindbk,INDUSINDBK.NS,1,NULL,INDUSINDBK,1346049,NSE:INDUSINDBK-EQ,0
24,karur_vysya_bank,KARURVYSYA.NS,1,NULL,KARURVYSYA,470529,NSE:KARURVYSYA-EQ,0
624,acc,ACC.NS,1,NULL,ACC,5633,NSE:ACC-EQ,0
625,au_small_finance_bank,AUBANK.NS,1,NULL,AUBANK,5436929,NSE:AUBANK-EQ,0
626,adani_enterprises,ADANIENT.NS,1,NULL,ADANIENT,6401,NSE:ADANIENT-EQ,0
627,adani_green,ADANIGREEN.NS,1,NULL,ADANIGREEN,912129,NSE:ADANIGREEN-EQ,1
628,adani_ports,ADANIPORTS.NS,1,NULL,ADANIPORTS,3861249,NSE:ADANIPORTS-EQ,0
629,adani_total_gas,ATGL.NS,1,NULL,ATGL,1552897,NSE:ATGL-EQ,0
631,alkem_labs,ALKEM.NS,1,NULL,ALKEM,2995969,NSE:ALKEM-EQ,1
632,apollo_hospitals,APOLLOHOSP.NS,1,NULL,APOLLOHOSP,40193,NSE:APOLLOHOSP-EQ,0
633,asian_paints,ASIANPAINT.BO,0,NULL,ASIANPAINT,NULL,NSE:ASIANPAINT-EQ,0
634,asian_paints,ASIANPAINT.NS,1,NULL,ASIANPAINT,60417,NSE:ASIANPAINT-EQ,0
636,axis_bank_nse,AXISBANK.BO,0,NULL,AXISBANK,NULL,NSE:AXISBANK-EQ,0
637,axis_bank,AXISBANK.NS,1,NULL,AXISBANK,1510401,NSE:AXISBANK-EQ,0
639,bajaj_auto,BAJAJ-AUTO.NS,1,NULL,BAJAJ-AUTO,4267265,NSE:BAJAJ-AUTO-EQ,1
